Seat,Candidate,Party,Raised,Spent,Percent,Votes,Winner,Incumbent
LA06,Dartanyon Williams ,dem,"$111,316","$98,114",25.5,"95,541",N,N
ME01,Chellie Pingree ,dem,"$487,080","$264,790",62.2,"271,004",Y,Y
ME01,Jay Allen ,gop,"$79,585","$69,853",37.8,"165,008",N,N
ME02,Jared Golden ,dem,"$5,272,142","$5,233,990",53,"197,974",Y,Y
ME02,Dale Crafts ,gop,"$1,199,805","$1,196,117",47,"175,228",N,N
MD01,Andy Harris ,gop,"$1,468,096","$973,953",63.6,"250,901",Y,Y
MD01,Mia Mason ,dem,"$2,524",$0,36.4,"143,877",N,N
MD02,Dutch Ruppersberger ,dem,"$1,012,835","$927,353",67.9,"224,836",Y,Y
MD02,Johnny Ray Salling ,gop,"$68,320","$66,895",32.1,"106,355",N,N
MD03,John Sarbanes ,dem,"$573,599","$687,299",69.9,"260,358",Y,Y
MD03,Charles Anthony ,gop,"$7,798","$6,742",30.1,"112,117",N,N
MD04,Anthony Brown ,dem,"$1,446,636","$846,827",79.7,"282,119",Y,Y
MD05,Steny H Hoyer ,dem,"$4,587,189","$4,342,255",68.9,"274,210",Y,Y
MD05,Chris Palombi ,gop,"$43,462","$42,095",31.1,"123,525",N,N
MD06,David Trone ,dem,"$2,944,893","$2,959,748",58.9,"215,540",Y,Y
MD06,Neil Parrott ,gop,"$315,936","$261,259",39.2,"143,599",N,N
MD07,Kweisi Mfume ,dem,"$1,014,126","$713,389",71.9,"237,084",Y,Y
MD07,Kimberly Klacik ,gop,"$8,296,845","$7,499,454",28.1,"92,825",N,N
MD08,Jamie Raskin ,dem,"$2,072,652","$1,399,252",68.4,"274,716",Y,Y
MD08,Gregory Coll ,gop,"$30,876","$27,257",31.6,"127,157",N,N
MA01,Richard E Neal ,dem,"$4,949,384","$5,873,122",0,0,Y,Y
MA02,James P McGovern ,dem,"$1,052,549","$1,089,412",65.4,"249,854",Y,Y
MA02,Tracy Lovvorn ,gop,"$26,311","$22,319",34.6,"132,220",N,N
MA03,Lori Trahan ,dem,"$1,449,303","$1,232,437",0,0,Y,Y
MA04,Jake Auchincloss ,dem,"$2,608,686","$2,150,904",61,"251,102",Y,N
MA04,Julie Hall ,gop,"$131,603","$129,378",39,"160,474",N,N
MA05,Katherine Clark ,dem,"$1,788,706","$1,514,877",74.4,"294,427",Y,Y
MA05,Caroline Colarusso ,gop,"$148,635","$146,972",25.6,"101,351",N,N
MA06,Seth Moulton ,dem,"$1,289,805","$1,802,169",65.5,"286,377",Y,Y
MA06,John Paul Moran ,gop,"$300,220","$299,104",34.5,"150,695",N,N
MA07,Ayanna Pressley ,dem,"$2,163,370","$1,748,432",87.4,"267,362",Y,Y
MA08,Stephen Lynch ,dem,"$905,614","$1,134,662",81.2,"310,940",Y,Y
MA09,Bill Keating ,dem,"$708,680","$652,448",61.3,"260,262",Y,Y
MA09,Helen Brady ,gop,"$28,233","$23,735",36.4,"154,261",N,N
MI01,John Bergman ,gop,"$1,868,512","$1,733,466",61.6,"256,581",Y,Y
MI01,Dana Ferguson ,dem,"$346,213","$339,788",36.8,"153,328",N,N
MI02,Bill Huizenga ,gop,"$2,175,411","$1,883,610",59.2,"238,711",Y,Y
MI02,Bryan Berghoef ,dem,"$751,576","$669,864",38.2,"154,122",N,N
MI03,Peter Meijer ,gop,"$2,975,972","$2,887,774",53,"213,649",Y,N
MI03,Hillary Scholten ,dem,"$3,793,132","$3,765,942",47,"189,769",N,N
MI04,John Moolenaar ,gop,"$1,528,612","$1,036,160",65,"242,621",Y,Y
MI04,Jerry Hilliard ,dem,"$23,117","$23,603",32.4,"120,802",N,N
MI05,Dan Kildee ,dem,"$1,669,951","$1,504,094",54.5,"196,599",Y,Y
MI05,Tim Kelly ,gop,"$71,106","$71,106",41.8,"150,772",N,N
MI06,Fred Upton ,gop,"$3,616,380","$3,464,617",55.9,"211,496",Y,Y
MI06,Jon Hoadley ,dem,"$3,116,491","$3,098,366",40.2,"152,085",N,N
MI07,Tim Walberg ,gop,"$2,301,635","$1,586,358",58.8,"227,524",Y,Y
MI07,Gretchen Driskell ,dem,"$1,712,840","$1,712,840",41.2,"159,743",N,N
MI08,Elissa Slotkin ,dem,"$8,967,420","$7,419,974",50.9,"217,922",Y,Y
MI08,Paul Junge ,gop,"$2,107,608","$2,097,131",47.3,"202,525",N,N
MI09,Andy Levin ,dem,"$1,316,607","$907,237",57.7,"230,318",Y,Y
MI10,Lisa McClain ,gop,"$2,266,287","$2,137,031",66.3,"271,607",Y,N
MI10,Kimberly Bizon ,dem,"$41,438","$41,246",33.7,"138,179",N,N
MI11,Haley Stevens ,dem,"$5,776,924","$5,707,448",50.2,"226,128",Y,Y
MI11,Eric Esshaki ,gop,"$1,298,612","$1,291,509",47.8,"215,405",N,N
MI12,Debbie Dingell ,dem,"$1,630,498","$1,689,582",66.4,"254,957",Y,Y
MI12,Jeff Jones ,gop,"$10,616","$9,657",30.7,"117,719",N,N
MI13,Rashida Tlaib ,dem,"$4,014,411","$3,690,334",78.1,"223,205",Y,Y
MN01,Jim Hagedorn ,gop,"$2,386,033","$2,305,994",48.6,"179,234",Y,Y
MN01,Daniel Feehan ,dem,"$4,861,651","$4,863,835",45.6,"167,890",N,N
MN02,Angie Craig ,dem,"$5,380,101","$4,435,492",48.2,"204,534",Y,Y
MN02,Tyler Kistner ,gop,"$2,990,054","$2,956,042",46,"194,954",N,N
MN03,Dean Phillips ,dem,"$2,328,616","$2,152,031",55.6,"246,666",Y,Y
MN03,Kendall Qualls ,gop,"$1,863,927","$1,751,214",44.4,"196,625",N,N
MN04,Betty McCollum ,dem,"$1,171,748","$994,072",63.3,"245,813",Y,Y
MN04,Gene Rechtzigel ,gop,"$20,075","$20,075",29,"112,730",N,N
MN05,Ilhan Omar ,dem,"$5,718,517","$5,605,576",64.5,"255,924",Y,Y
MN06,Tom Emmer ,gop,"$2,804,265","$2,537,612",65.8,"270,901",Y,Y
MN06,Tawnja Zahradka ,dem,"$49,242","$49,214",34.2,"140,853",N,N
MN07,Michelle Fischbach ,gop,"$2,618,450","$2,580,501",53.4,"194,066",Y,N
MN07,Collin Peterson ,dem,"$2,714,012","$2,867,577",39.9,"144,840",N,Y
MN08,Pete Stauber ,gop,"$2,593,190","$2,608,759",56.8,"223,432",Y,Y
MN08,Quinn Nystrom ,dem,"$1,530,606","$1,527,005",37.6,"147,853",N,N
MS01,Trent Kelly ,gop,"$876,882","$826,673",68.7,"228,787",Y,Y
MS01,Antonia Eliason ,dem,"$22,281","$18,174",31.3,"104,008",N,N
MS02,Bennie G Thompson ,dem,"$1,377,392","$1,096,904",66,"196,224",Y,Y
MS03,Michael Guest ,gop,"$766,807","$518,162",64.7,"221,064",Y,Y
MS04,Steven Palazzo ,gop,"$817,129","$747,217",0,0,Y,Y
MO01,Cori Bush ,dem,"$1,418,014","$1,333,512",78.9,"249,087",Y,N
MO02,Ann Wagner ,gop,"$5,598,287","$6,513,101",51.9,"233,157",Y,Y
MO02,Jill Schupp ,dem,"$4,850,948","$4,830,434",45.5,"204,540",N,N
MO03,Blaine Luetkemeyer ,gop,"$2,022,905","$2,081,391",69.4,"282,866",Y,Y
MO04,Vicky Hartzler ,gop,"$1,700,978","$1,335,607",67.6,"245,247",Y,Y
MO04,Lindsey Simmons ,dem,"$395,934","$384,622",29.7,"107,635",N,N
MO05,Emanuel Cleaver ,dem,"$1,393,847","$928,061",58.8,"207,180",Y,Y
MO05,Ryan Derks ,gop,"$76,488","$76,488",38.6,"135,934",N,N
MO06,Sam Graves ,gop,"$1,959,516","$1,654,756",67.1,"258,709",Y,Y
MO06,Gena Ross ,dem,"$10,170","$10,530",30.8,"118,926",N,N
MO07,Billy Long ,gop,"$1,320,420","$1,518,234",69.1,"254,318",Y,Y
MO08,Jason Smith ,gop,"$1,900,227","$1,514,786",76.9,"253,811",Y,Y
MO08,Kathryn Ellis ,dem,"$302,428","$305,387",21.4,"70,561",N,N
MT01,Matt Rosendale ,gop,"$3,674,706","$3,488,045",56.4,"339,169",Y,N
MT01,Kathleen Williams ,dem,"$6,201,758","$6,232,286",43.6,"262,340",N,N
NE01,Jeff Fortenberry ,gop,"$1,472,816","$2,458,330",59.5,"189,006",Y,Y
NE01,Kate Bolz ,dem,"$1,143,509","$1,140,371",37.7,"119,622",N,N
NE02,Don Bacon ,gop,"$3,749,272","$3,713,961",50.8,"171,071",Y,Y
NE02,Kara Eastman ,dem,"$4,414,390","$4,468,006",46.2,"155,706",N,N
NE03,Adrian Smith ,gop,"$1,506,473","$1,148,409",78.5,"225,157",Y,Y
NE03,Mark Elworth Jr ,dem,$255,$0,17.7,"50,690",N,N
NV01,Dina Titus ,dem,"$706,193","$587,919",61.8,"137,868",Y,Y
NV02,Mark Amodei ,gop,"$1,048,056","$1,016,673",56.5,"216,078",Y,Y
NV02,Patricia Ackerman ,dem,"$449,363","$449,449",40.7,"155,780",N,N
NV03,Susie Lee ,dem,"$4,748,019","$4,732,009",48.8,"203,421",Y,Y
NV03,Dan Rodimer ,gop,"$2,936,059","$2,915,216",45.8,"190,975",N,N
NV04,Steven Horsford ,dem,"$3,492,372","$3,024,427",50.7,"168,457",Y,Y
NV04,Jim Marchant ,gop,"$1,462,772","$1,419,405",45.8,"152,284",N,N
NH01,Chris Pappas ,dem,"$3,205,731","$3,105,663",51.3,"205,606",Y,Y
NH01,Matt Mowers ,gop,"$1,707,214","$1,698,761",46.2,"185,159",N,N
NH02,Steve Negron ,gop,"$368,177","$378,959",43.7,"168,886",N,N
NJ01,Don Norcross ,dem,"$2,221,989","$1,087,264",62.5,"240,567",Y,Y
NJ01,Claire Gustafson ,gop,"$36,520","$21,761",37.5,"144,463",N,N
NJ02,Jeff Van Drew ,gop,"$4,229,171","$4,041,493",51.9,"195,526",Y,Y
NJ02,Amy Kennedy ,dem,"$4,984,376","$4,978,913",46.2,"173,849",N,N
NJ03,Andy Kim ,dem,"$7,241,283","$6,753,262",53.2,"229,840",Y,Y
NJ03,David Richter ,gop,"$1,473,669","$1,470,648",45.5,"196,327",N,N
NJ05,Josh Gottheimer ,dem,"$7,694,027","$3,487,964",53.2,"225,175",Y,Y
NJ05,Frank Pallotta ,gop,"$1,972,033","$1,948,705",45.6,"193,333",N,N
NJ06,Frank Pallone Jr. ,dem,"$3,231,755","$2,021,737",61.2,"199,648",Y,Y
NJ07,Tom Malinowski ,dem,"$7,414,403","$7,423,758",50.6,"219,629",Y,Y
NJ08,Albio Sires ,dem,"$605,810","$551,325",74,"176,758",Y,Y
NJ09,Bill Pascrell Jr. ,dem,"$1,560,550","$1,795,410",65.8,"203,674",Y,Y
NJ09,Billy Prempeh ,gop,"$44,269","$35,075",31.9,"98,629",N,N
NJ10,Donald M Payne Jr. ,dem,"$593,735","$457,252",83.3,"241,522",Y,Y
NJ11,Mikie Sherrill ,dem,"$6,419,707","$3,733,106",53.3,"235,163",Y,Y
NJ11,Rosemary Becchi ,gop,"$1,687,532","$1,686,236",46.7,"206,013",N,N
NJ12,Bonnie Watson Coleman ,dem,"$798,439","$840,651",65.6,"230,883",Y,Y
NJ12,Mark Razzoli ,gop,"$3,065","$1,142",32.6,"114,591",N,N
NM01,Debra Haaland ,dem,"$2,246,734","$1,875,766",58.2,"186,953",Y,Y
NM01,Michelle Garcia Holmes ,gop,"$257,294","$245,590",41.8,"134,337",N,N
NM02,Yvette Herrell ,gop,"$2,805,711","$2,921,785",53.7,"142,283",Y,N
NM02,Xochitl Torres Small ,dem,"$8,387,337","$8,539,065",46.3,"122,546",N,Y
NM03,Teresa Leger Fernandez ,dem,"$2,296,594","$2,132,010",58.7,"186,282",Y,N
NM03,Alexis Johnson ,gop,"$147,303","$147,303",41.3,"131,166",N,N
NY01,Lee Zeldin ,gop,"$8,396,981","$8,250,116",54.9,"205,715",Y,Y
NY01,Nancy Goroff ,dem,"$7,866,239","$7,860,977",45.1,"169,294",N,N
NY02,Andrew Garbarino ,gop,"$1,743,986","$1,612,132",52.9,"177,379",Y,N
NY02,Jackie Gordon ,dem,"$4,351,881","$4,334,484",46,"154,246",N,N
NY03,Tom Suozzi ,dem,"$2,941,006","$2,331,302",56,"208,555",Y,Y
NY03,George Devolder-Santos ,gop,"$658,883","$591,239",43.5,"161,931",N,N
NY04,Kathleen Rice ,dem,"$1,106,258","$1,210,410",56.1,"199,762",Y,Y
NY04,Douglas Tuman ,gop,"$134,937","$130,995",43,"153,007",N,N
NY05,Gregory Meeks ,dem,"$2,097,572","$1,467,454",0,0,Y,Y
NY06,Grace Meng ,dem,"$1,292,084","$1,872,311",68,"158,862",Y,Y
NY06,Thomas Zmich ,gop,"$133,403","$131,278",32,"74,829",N,N
NY07,Nydia Velazquez ,dem,"$803,217","$676,248",84.9,"191,073",Y,Y
NY08,Hakeem Jeffries ,dem,"$4,168,717","$3,293,077",84.8,"234,933",Y,Y
NY09,Yvette Clarke ,dem,"$1,200,067","$1,190,143",83.2,"230,221",Y,Y
NY10,Jerrold Nadler ,dem,"$1,848,688","$1,950,774",74.6,"206,310",Y,Y
NY10,Cathy Bernstein ,gop,"$49,975","$28,384",24.2,"66,889",N,N
NY11,Nicole Malliotakis ,gop,"$3,469,995","$3,447,052",53.1,"155,608",Y,N
NY11,Max Rose ,dem,"$9,284,434","$9,499,242",46.9,"137,198",N,Y
NY12,Carolyn Maloney ,dem,"$3,067,173","$3,059,202",82.3,"265,172",Y,Y
NY13,Adriano Espaillat ,dem,"$1,087,237","$1,252,740",90.9,"231,841",Y,Y
NY13,Lovelynn Gwinn ,gop,"$39,384","$39,384",7.8,"19,829",N,N
NY14,Alexandria Ocasio-Cortez ,dem,"$20,664,795","$16,735,422",71.6,"152,661",Y,Y
NY14,John C. Cummings ,gop,"$11,140,937","$10,947,758",27.4,"58,440",N,N
NY15,Ritchie Torres ,dem,"$2,194,025","$1,804,336",88.9,"169,533",Y,N
NY16,Jamaal Bowman ,dem,"$2,878,898","$2,801,424",84.2,"218,471",Y,N
NY17,Mondaire Jones ,dem,"$2,984,052","$2,186,463",59.3,"197,353",Y,N
NY17,Maureen McArdle Schulman ,gop,"$54,732","$60,084",35.3,"117,307",N,N
NY18,Sean Patrick Maloney ,dem,"$2,556,294","$1,718,525",55.8,"187,169",Y,Y
NY18,Chele Farley ,gop,"$1,186,211","$1,152,124",43.3,"145,098",N,N
NY19,Antonio Delgado ,dem,"$5,949,475","$2,963,286",54.8,"192,100",Y,Y
NY19,Kyle Van De Water ,gop,"$153,796","$120,097",43.2,"151,475",N,N
NY20,Paul Tonko ,dem,"$1,541,984","$1,418,994",61.2,"219,705",Y,Y
NY20,Elizabeth Joy ,gop,"$370,852","$336,845",38.8,"139,446",N,N
NY21,Elise Stefanik ,gop,"$13,287,248","$11,655,936",58.8,"188,649",Y,Y
NY21,Tedra Cobb ,dem,"$5,586,793","$5,593,266",41.2,"131,992",N,N
NY22,Claudia Tenney ,gop,"$3,051,777","$2,725,893",49,"155,348",N,N
NY22,Anthony Brindisi ,dem,"$6,020,190","$5,772,429",48.9,"154,997",N,Y
NY23,Tom Reed ,gop,"$3,275,177","$3,145,027",57.7,"181,060",Y,Y
NY23,Tracy Mitrano ,dem,"$1,450,322","$1,466,128",41.1,"129,014",N,N
NY24,John Katko ,gop,"$3,821,107","$3,597,234",53.2,"182,668",Y,Y
NY24,Dana Balter ,dem,"$3,212,469","$3,230,808",43,"147,721",N,N
NY25,Joseph D Morelle ,dem,"$1,375,366","$1,274,426",59.3,"206,396",Y,Y
NY25,George Mitris ,gop,"$301,376","$279,047",39.1,"136,198",N,N
NY26,Brian Higgins ,dem,"$1,124,168","$984,106",69.9,"223,276",Y,Y
NC01,G K Butterfield ,dem,"$1,032,869","$880,420",54.2,"188,870",Y,Y
NC01,Sandy Smith ,gop,"$1,458,375","$1,437,805",45.8,"159,748",N,N
NC02,Deborah Ross ,dem,"$2,268,381","$1,816,923",63,"311,887",Y,N
NC02,Alan Swain ,gop,"$119,664","$119,435",34.8,"172,544",N,N
NC03,Greg Murphy ,gop,"$1,767,790","$1,505,559",63.4,"229,800",Y,Y
NC04,David Price ,dem,"$1,161,738","$1,014,872",67.3,"332,421",Y,Y
NC05,Virginia Foxx ,gop,"$1,858,388","$1,944,629",66.9,"257,843",Y,Y
NC05,David Wilson Brown ,dem,"$61,596","$60,668",31.1,"119,846",N,N
NC06,Kathy Manning ,dem,"$2,002,284","$1,695,596",62.3,"253,531",Y,N
NC06,Lee Haywood ,gop,"$73,878","$58,342",37.7,"153,598",N,N
NC07,David Rouzer ,gop,"$1,628,458","$1,038,883",60.3,"272,443",Y,Y
NC07,Christopher Ward ,dem,"$16,260","$4,119",39.7,"179,045",N,N
NC08,Richard Hudson ,gop,"$4,135,872","$4,359,009",53.3,"202,774",Y,Y
NC08,Patricia Timmons-Goodson ,dem,"$3,855,743","$3,852,668",46.7,"177,781",N,N
NC09,Dan Bishop ,gop,"$4,090,260","$4,029,864",55.6,"224,661",Y,Y
NC09,Cynthia Wallace ,dem,"$811,609","$794,300",44.4,"179,463",N,N
NC10,Patrick McHenry ,gop,"$2,780,234","$2,339,363",68.9,"284,095",Y,Y
NC10,David Parker ,dem,"$30,555","$30,555",31.1,"128,189",N,N
NC11,Madison Cawthorn ,gop,"$4,478,970","$4,366,783",54.5,"245,351",Y,N
NC11,Moe Davis ,dem,"$2,251,413","$2,148,121",42.3,"190,609",N,N
NC12,Alma Adams ,dem,"$824,124","$651,883",0,0,Y,Y
NC13,Ted Budd ,gop,"$2,294,174","$1,293,414",68.2,"267,181",Y,Y
NC13,Scott Huffman ,dem,"$193,334","$189,967",31.8,"124,684",N,N
ND01,Kelly Armstrong ,gop,"$1,269,346","$1,080,105",69,"245,229",Y,Y
ND01,Zach Raknerud ,dem,"$28,047","$26,029",27.6,"97,970",N,N
OH01,Steve Chabot ,gop,"$3,177,647","$2,861,464",51.8,"199,560",Y,Y
OH01,Kate Schroder ,dem,"$4,040,303","$4,039,798",44.6,"172,022",N,N
OH02,Brad Wenstrup ,gop,"$1,794,354","$1,757,078",61.1,"230,430",Y,Y
OH02,Jaime Castle ,dem,"$284,197","$271,471",38.9,"146,781",N,N
OH03,Joyce Beatty ,dem,"$2,237,887","$2,540,687",70.8,"227,420",Y,Y
OH04,Jim Jordan ,gop,"$18,313,823","$12,945,651",67.9,"235,875",Y,Y
OH05,Bob Latta ,gop,"$1,580,952","$1,477,090",68,"257,019",Y,Y
OH05,Nick Rubando ,dem,"$249,319","$247,423",32,"120,962",N,N
OH06,Bill Johnson ,gop,"$1,866,123","$1,853,361",74.4,"249,130",Y,Y
OH06,Shawna Roberts ,dem,$262,$574,25.6,"85,661",N,N
OH07,Bob Gibbs ,gop,"$791,888","$453,928",67.5,"236,607",Y,Y
OH07,Quentin Potter ,dem,"$12,976","$12,976",29.2,"102,271",N,N
OH08,Warren Davidson ,gop,"$1,016,740","$841,533",69,"246,277",Y,Y
OH08,Vanessa Enoch ,dem,"$40,270","$37,546",31,"110,766",N,N
OH09,Marcy Kaptur ,dem,"$1,090,395","$979,798",63.1,"190,328",Y,Y
OH09,Rob Weber ,gop,"$134,898","$123,262",36.9,"111,385",N,N
OH10,Michael R Turner ,gop,"$1,752,255","$1,736,283",58.4,"212,972",Y,Y
OH10,Desiree Tims ,dem,"$2,040,760","$2,024,010",41.6,"151,976",N,N
OH11,Marcia Fudge ,dem,"$755,787","$499,820",80.1,"242,098",Y,Y
OH11,Laverne Gore ,gop,"$157,044","$156,827",19.9,"60,323",N,N
OH12,Troy Balderson ,gop,"$2,016,826","$1,995,665",55.2,"241,790",Y,Y
OH12,Alaina Shearer ,dem,"$1,033,711","$1,025,410",41.8,"182,847",N,N
OH13,Tim Ryan ,dem,"$1,972,446","$2,071,454",52.5,"173,631",Y,Y
OH13,Christina Hagan ,gop,"$861,723","$820,660",44.9,"148,648",N,N
OH14,David P Joyce ,gop,"$2,917,696","$2,501,449",60.1,"238,864",Y,Y
OH14,Hillary O'Connor Mueri ,dem,"$579,877","$574,646",39.9,"158,586",N,N
OH15,Steve Stivers ,gop,"$3,004,799","$2,293,101",63.4,"243,103",Y,Y
OH15,Joel Newby ,dem,"$55,797","$55,797",36.6,"140,183",N,N
OK01,Kevin Hern ,gop,"$1,094,104","$830,366",63.7,"213,700",Y,Y
OK01,Kojo Asamoa-Caesar ,dem,"$157,355","$173,928",32.7,"109,641",N,N
OK02,Markwayne Mullin ,gop,"$1,660,206","$1,077,939",75,"216,511",Y,Y
OK02,Danyell Lanier ,dem,"$41,730","$41,722",22,"63,472",N,N
OK03,Frank D Lucas ,gop,"$872,749","$1,036,145",78.5,"242,677",Y,Y
OK04,Tom Cole ,gop,"$1,812,530","$1,753,697",67.8,"213,096",Y,Y
OK04,Mary Brannon ,dem,"-$2,084","$1,599",28.8,"90,459",N,N
OK05,Stephanie Bice ,gop,"$3,720,520","$3,508,929",52.1,"158,191",Y,N
OK05,Kendra Horn ,dem,"$5,949,800","$5,946,195",47.9,"145,658",N,Y
OR01,Suzanne Bonamici ,dem,"$959,223","$864,627",64.7,"297,071",Y,Y
OR01,Chris Christensen ,gop,$144,$672,35.3,"161,928",N,N
OR02,Cliff Bentz ,gop,"$1,450,780","$1,361,727",59.9,"273,835",Y,N
OR02,Alex Spenser ,dem,"$20,640","$5,089",37,"168,881",N,N
OR03,Earl Blumenauer ,dem,"$1,813,365","$1,948,453",73.1,"343,574",Y,Y
OR03,Joanna Harbour ,gop,"$17,681","$14,502",23.5,"110,570",N,N
OR04,Peter DeFazio ,dem,"$5,182,843","$5,781,074",51.6,"240,950",Y,Y
OR04,Alek Skarlatos ,gop,"$5,454,621","$5,331,264",46.3,"216,081",N,N
OR05,Kurt Schrader ,dem,"$2,018,692","$1,922,073",52,"234,863",Y,Y
OR05,Amy Ryan Courser ,gop,"$231,624","$221,041",45.2,"204,372",N,N
PA01,Brian Fitzpatrick ,gop,"$4,203,825","$4,272,135",56.6,"249,804",Y,Y
PA01,Christina Finello ,dem,"$2,336,814","$2,329,748",43.4,"191,875",N,N
PA02,Brendan Boyle ,dem,"$1,556,650","$756,317",72.5,"198,140",Y,Y
PA03,Dwight Evans ,dem,"$942,386","$781,265",91,"341,708",Y,Y
PA04,Madeleine Dean ,dem,"$1,435,995","$1,005,928",59.5,"264,637",Y,Y
PA04,Kathy Barnette ,gop,"$1,000,389","$884,640",40.5,"179,926",N,N
PA05,Mary Gay Scanlon ,dem,"$1,455,042","$1,350,276",64.7,"255,743",Y,Y
PA05,Dasha Pruett ,gop,"$105,146","$82,437",35.3,"139,552",N,N
PA06,Chrissy Houlahan ,dem,"$3,484,484","$1,327,283",56.1,"226,440",Y,Y
PA06,John Emmons ,gop,"$608,859","$601,390",43.9,"177,526",N,N
PA07,Susan Wild ,dem,"$4,581,056","$4,528,267",51.9,"195,475",Y,Y
PA08,Matt Cartwright ,dem,"$3,885,136","$4,144,070",51.8,"178,004",Y,Y
PA08,Jim Bognet ,gop,"$1,519,527","$1,386,040",48.2,"165,783",N,N
PA09,Dan Meuser ,gop,"$1,071,961","$944,010",66.3,"232,988",Y,Y
PA09,Gary Wegman ,dem,"$188,787","$187,348",33.7,"118,266",N,N
PA10,Scott Perry ,gop,"$3,956,481","$3,839,197",55.6,"229,028",N,Y
PA10,Eugene DePasquale ,dem,"$4,534,580","$4,526,684",44.4,"182,938",N,N
PA11,Lloyd Smucker ,gop,"$1,349,318","$662,704",63.1,"241,915",Y,Y
PA11,Sarah Hammond ,dem,"$28,733","$23,458",36.9,"141,325",N,N
PA12,Fred Keller ,gop,"$1,541,938","$1,066,158",70.8,"241,035",Y,Y
PA12,Lee Griffin ,dem,"$45,850","$44,571",29.2,"99,199",N,N
PA13,John Joyce ,gop,"$1,119,769","$461,229",73.5,"267,789",Y,Y
PA13,Todd Rowley ,dem,"$60,348","$67,527",26.5,"96,612",N,N
PA14,Guy Reschenthaler ,gop,"$2,250,282","$1,580,488",64.7,"241,688",Y,Y
PA14,Bill Marx ,dem,"$60,403","$45,959",35.3,"131,895",N,N
PA15,Glenn Thompson ,gop,"$1,700,061","$1,839,073",73.5,"255,058",Y,Y
PA16,Mike Kelly ,gop,"$2,239,488","$1,319,340",59.3,"210,088",Y,Y
PA16,Kristy Gnibus ,dem,"$584,205","$579,453",40.7,"143,962",N,N
PA17,Conor Lamb ,dem,"$4,063,114","$3,448,850",51.1,"222,253",Y,Y
PA17,Sean Parnell ,gop,"$3,935,774","$3,732,399",48.9,"212,284",N,N
RI01,David Cicilline ,dem,"$1,574,854","$1,743,173",71.3,"158,550",Y,Y
RI02,Jim Langevin ,dem,"$1,102,312","$1,422,339",58.4,"154,086",Y,Y
RI02,Bob Lancia ,gop,"$55,549","$47,877",41.6,"109,894",N,N
SC01,Nancy Mace ,gop,"$5,766,726","$5,707,239",50.6,"216,042",Y,N
SC01,Joe Cunningham ,dem,"$6,941,746","$6,993,962",49.4,"210,627",N,Y
SC02,Joe Wilson ,gop,"$1,648,065","$1,723,956",55.7,"202,715",Y,Y
SC02,Adair Boroughs ,dem,"$2,510,526","$2,507,664",42.6,"155,118",N,N
SC03,Jeff Duncan ,gop,"$1,509,647","$1,271,872",71.3,"237,544",Y,Y
SC03,Hosea Cleveland ,dem,"$43,214","$45,107",28.7,"95,712",N,N
SC04,William Timmons ,gop,"$977,784","$982,233",61.7,"222,126",Y,Y
SC04,Kim Nelson ,dem,"$167,825","$167,508",36.9,"133,023",N,N
SC05,Ralph Norman ,gop,"$991,246","$859,747",60.1,"220,006",Y,Y
SC05,Moe Brown ,dem,"$480,648","$477,295",39.9,"145,979",N,N
SC06,James E Clyburn ,dem,"$3,406,945","$2,332,128",68.2,"197,477",Y,Y
SC07,Tom Rice ,gop,"$1,405,738","$1,242,208",61.8,"224,993",Y,Y
SC07,Melissa Watson ,dem,"$147,623","$147,623",38.2,"138,863",N,N
SD01,Dusty Johnson ,gop,"$1,693,504","$699,356",81,"321,984",Y,Y
TN01,Diana Harshbarger ,gop,"$2,126,946","$1,869,100",74.7,"228,181",Y,N
TN01,Blair Nicole Walsingham ,dem,"$140,209","$134,995",22.5,"68,617",N,N
TN02,Tim Burchett ,gop,"$1,336,276","$878,488",67.6,"238,907",Y,Y
TN02,Renee Hoyos ,dem,"$812,784","$816,793",31.1,"109,684",N,N
TN03,Chuck Fleischmann ,gop,"$1,051,653","$381,411",67.3,"215,571",Y,Y
TN03,Meg Gorman ,dem,"$85,843","$77,760",30.5,"97,687",N,N
TN04,Christopher Hale ,dem,"$308,731","$302,996",33.3,"111,908",N,N
TN05,Jim Cooper ,dem,"$936,569","$1,332,131",0,0,Y,Y
TN06,John Rose ,gop,"$1,050,429","$625,688",73.7,"257,572",Y,Y
TN07,Mark Green ,gop,"$1,194,960","$935,487",69.9,"245,188",Y,Y
TN07,Kiran Sreepada ,dem,"$206,644","$207,191",27.3,"95,839",N,N
TN08,David Kustoff ,gop,"$1,641,217","$999,285",68.5,"227,216",Y,Y
TN08,Erika Stotts Pearson ,dem,"$19,070","$15,883",29.5,"97,890",N,N
TN09,Steve Cohen ,dem,"$607,570","$457,311",77.4,"187,905",Y,Y
TN09,Charlotte Bergmann ,gop,"$99,147","$100,532",20.1,"48,818",N,N
TX01,Louie Gohmert ,gop,"$552,915","$580,441",72.6,"219,726",Y,Y
TX01,Hank Gilbert ,dem,"$968,155","$734,411",27.4,"83,016",N,N
TX02,Dan Crenshaw ,gop,"$19,427,865","$17,596,329",55.6,"192,828",Y,Y
TX02,Sima Ladjevardian ,dem,"$3,832,697","$3,825,287",42.8,"148,374",N,N
TX03,Van Taylor ,gop,"$2,655,327","$2,825,378",55.1,"230,512",Y,Y
TX03,Helane Seikaly ,dem,"$1,635,185","$1,634,843",42.9,"179,458",N,N
